name,RectCoverage,AvgRectArea,RectStDev,AspectRatio,AvgLineBends,AvgLineLength,LongestLine,ShortestLine,LineLengthStDev,AvgLineAngle,OrthLinesRatio,LineCrossings,AvgCrossingAngle,AvgShortestDistance,RectDistribution,RectOrth2,rectangles,lines,Quality
uml_diagram.png,0.115860226,0.018639115,0.053580572,0.237348767,0,0.070239737,0.055213151,0.00747269,0.354314721,0.236611483,0.333333,0.066666067,0.997324921,0.146533729,0.166773924,0.224999848,0.163934426,0.111111111,3
StatsClassDiagram.png,0.337172774,0.095644372,0.197104832,0.161783096,0,0.053557174,0.042809991,0.041514943,0.337658895,0.016946182,0.666667,0,1,0.264070165,0.358804655,0.168750055,0.098360656,0.027777778,4.5
uml_class_diagram_for_translat_228.png,0.22701593,0.000753286,0.017075697,0.400098841,0.125,0.144526155,0.07419939,0.178271939,0.12575824,0.439468925,0,0.6000006,0.416468091,0.017356574,0.294991643,0.750000169,0.114754098,0.013888889,4.5
U-Fill UML.jpg,0.412191238,0.060989421,0.142908743,0.426502119,0.333333375,0.208207301,0.128201912,0.249090923,0.202687952,0.007156145,0.909091,0,1,0.134240841,0.272241911,0.607500197,0.131147541,0.027777778,4
uml_class_diagram_for_translat_120.png,0.080839813,0.01872619,0.402135398,0.343686286,0.5,0.337236563,0.160806994,0.456155619,0.075436562,0.135095015,0.5,0,1,0.081121242,0.618009467,0.675000219,0.262295082,0.013888889,3
uml_class_diagram_for_translat_70.png,0.628580001,0.532908648,0.207706405,0.010726686,0,0.025160316,0.029348454,0.004644788,0.534442826,0.344891997,0,0,1,0.553072398,0.449335411,0.33750011,0.032786885,0.027777778,4
UML Diagram.png,0.170402673,0.121156594,0.172768249,0.260253565,0,0.191371763,0.082094466,0.292265197,0,0,1,0,1,0.401077374,0.565938842,0.096428506,0.081967213,0,2
UML-model.png,0.326657161,0.059743626,0.142099017,0.173030301,0,0.033442064,0.034341476,0.015775678,0.406988533,0.006005002,1,0,1,0.209753082,0.385234177,0.3857147,0.081967213,0.041666667,4
uml_class_diagram_for_translat_233.png,0.185966446,0.039936395,1,0.503364996,0,0.233870531,0.100443165,0.356198208,0.000777682,0,1,0,1,0.07721366,0.724684481,0.704347879,0.344262295,0.013888889,3
UML.jpeg,0.41144113,0.186744004,0.181291355,0.190617152,0.53571425,0.257547824,0.180662224,0.172712804,0.243224976,0.02172354,0.810811,0.072546073,0.996095825,0.36722203,0.106666626,0.306817975,0.147540984,0.083333333,3
uml_class_diagram_for_translat_175.png,0.700415957,0.308451639,0.190327344,0.029670513,0,0.018430404,0.008554216,0.028124502,0.031599338,0.322291562,0,0,1,0.348855648,0.266244144,0.405000132,0.049180328,0.013888889,4
UMLDiagram.jpeg,0.210516125,0.0378043,0.128026621,0.319757351,0.178571375,0.113895787,0.104207,0.042345242,0.384979427,0.002134275,1,0.01960802,1,0.157951329,0.359301801,0.607500197,0.131147541,0.083333333,4
uml_class_diagram_for_translat_88.png,0.016602384,0,0.084688406,0.836841456,0.5,0.181013508,0.077650992,0.276581574,0,0.429623098,0.4,0,1,0.07960678,0.76249268,0.675000219,0.262295082,0,2.5
UMLDiagram_V2.1.png,0.385080935,0.438751287,0.260377169,0.071072679,0.1944445,0.285455581,0.354502818,0.047372587,0.575887618,0.009578538,0.913043,0,1,0.47160984,0.163424294,0.089999804,0.213114754,0.111111111,2
uml_1..jpg,0.224745092,0.011580074,0.01464255,0.179652773,0.05,0.026764739,0.032702149,0.001660598,0.441632849,0.021081301,0.571429,0,1,0.064139327,0.410208862,0.472500154,0.131147541,0.055555556,2.5
uml_class_diagram_for_translat_163.png,0.161689884,0.049292205,0.640887546,0.379100642,0,0.130825292,0.112230306,0.083029885,0.358815378,0.830627077,0,0,1,0.207138998,0.668159373,0.525000321,0.114754098,0.055555556,3.5
uml_17..png,0.240435806,0.045086284,0.223612876,0.247365858,0,0.042319149,0.018154026,0.066581914,0,0.688807085,0,0,1,0.147003984,0.770798513,0,0.049180328,0.027777778,3.5
uml_19..png,0.203229182,0.144594393,0.270849458,0.274671464,0.440476125,0.882845632,0.777933582,0.097975265,0.420453035,0.003807337,0.968421,0.136842137,1,0.273278837,0.302784318,0.490909435,0.327868852,0.277777778,4
uml_class_diagram_for_translat_114.png,0.53874146,0.054076433,0.249964419,0.030423847,0,0,0,0.002505718,0,0.048579676,0,0,1,0.097128501,0.439528993,0.450000371,0.06557377,0,4.5
uml_class_diagram_for_translat_115.png,0.470307275,0.04880343,0.282478783,0.035752424,0,0.010112011,0.007022539,0.012620128,0.122997469,0.179033329,0,0,1,0.094808996,0.468030969,0.450000371,0.06557377,0.027777778,4.5
uml_class_diagram_for_translat_125.png,0.529446536,0.03786825,0.322980121,0,0.05,0.116032867,0.127730973,0.010804809,0.586845156,0.015931581,0.714286,0.214287214,0.99859769,0.054101563,0.225703933,0.421875137,0.098360656,0.055555556,4.5
uml_class_diagram_for_translat_135.png,0.054436022,0.015574452,0.094356639,0.283924244,0.25,0.108356557,0.070214328,0.039075914,0.34578355,0.074642542,0.666667,0,1,0.152690307,0.76593686,0.578571713,0.081967213,0.027777778,4.5
uml_class_diagram_for_translat_162.png,0.094290462,0.027763819,0.55553656,0.3628042,0.5,0.332599004,0.142677985,0.50609994,0,0.160725455,0.4,0,1,0.138943794,0.679241442,0.540000176,0.131147541,0,3
uml_class_diagram_for_translat_176.png,0.706233459,0.309362487,0.191051731,0.030138231,0.0625,0.022087175,0.019994636,0.019799887,0.268855959,0.221580001,0.333333,0,1,0.347536871,0.262955513,0.405000132,0.049180328,0.041666667,4
uml_class_diagram_for_translat_188_1..png,0.704666568,0.308697098,0.19078891,0.030138231,0,0.031684023,0.01359178,0.050479075,0,0.503069394,0,0,1,0.348198272,0.263521283,0.405000132,0.049180328,0,4
uml_class_diagram_for_translat_198.png,0.399977946,0.087887408,0.298094648,0.050685616,0,0.012651092,0.005427053,0.021660968,0,0.079955452,0,0,1,0.153610343,0.554208655,0.405000132,0.049180328,0,4.5
uml_class_diagram_for_translat_206.png,0.449291437,0.0894942,0.274441059,0.040811593,0,0.0236666,0.010152474,0.038339749,0,0.095673682,0,0,1,0.16383144,0.585425867,0.405000132,0.049180328,0,4
UML_v0.1.png,0.165235265,0.039997664,0.274754346,0.256593021,0.345238125,0.252923435,0.263934776,0.108781008,0.36256027,0.004655779,0.898734,0.040824041,0.971320607,0.125900927,0.438613239,0.42954584,0.327868852,0.277777778,4
uml_class_diagram_for_translat_244.png,0.439693905,0.112462703,0.216969492,0.039851933,0,0.024255398,0.010405056,0.03923126,0,0.113139242,0,0,1,0.202511305,0.48799989,0.33750011,0.032786885,0,4
usbdesign.png,0,0.003284025,0.120964765,0.185658358,0.125,0.346578688,0.239471021,0.206794408,0.413428446,0.209611846,0.5,0,1,0.287868666,0.38124634,0.084375027,0.098360656,0.013888889,2.5
uml_class_diagram_for_translat_249.png,0.141934483,0.517489676,0.16044544,0.282122725,0.625,0.816287211,0.583632573,0.414435027,0.462646522,0.093357288,0.583333,0.076923077,0.17261507,0.819185424,0.790534111,0.224999848,0.016393443,0.013888889,3.5
uml_datenmodell_neu.png,0.397563496,0.03062281,0.071618528,0.143082538,0.291666625,0.212850884,0.151020769,0.040684644,0.34818588,0.001868767,1,0.0999991,0.998350889,0.155983452,0.040552411,0.675000219,0.081967213,0.069444444,4.5
XYGraphUML.png,0.112952116,0.004849633,0.087978627,0.255482625,0.041666625,0.078048571,0.066333784,0.042345242,0.368452979,0.011393653,0.75,0,1,0.112359872,0.254956202,0.830769345,0.180327869,0.069444444,4
UML_V1.png,0.51269413,0.136276073,0.15768653,0.279300903,0.25,0.099065173,0.080918267,0.048992573,0.40896738,0.004238457,1,0.066666067,0.992420394,0.203656418,0.338832685,0.096428506,0.081967213,0.027777778,4.5
VMapClassDiagram.png,0.353331504,0.069675706,0.400075926,0.149226138,0,0.016811404,0.015051143,0.008314847,0.292160259,0.022212541,0.333333,0,1,0.105164479,0.171323718,0.33750011,0.098360656,0.027777778,4.5
airline_uml.jpeg,0.152405217,0.057263284,0.148519273,0.251414483,0.453125,0.414280174,0.503813252,0.081369288,0.468049998,0.041531335,0.891892,0.065946066,0.999855357,0.243310777,0.257352717,0.306817975,0.147540984,0.208333333,2
class_diagram_1..jpg,0.295412931,0.144084713,0.13199445,0.20223902,0.181818125,0.224701998,0.30891059,0.070736943,0.580260311,0.455703349,0.259259,0.03968404,0.691063743,0.316584659,0.285967542,0.112500262,0.163934426,0.138888889,3
AbstractAssetMonteCarloProductClassDiagram.svg.png,0.329615278,0.255245389,0.013437316,1,0,0.148317293,0.090525493,0.132128032,0.270853188,0.640391217,0,0,1,0.572639886,0.453031976,0.33750011,0.032786885,0.013888889,4.5
ClassDiagram_57..png,0.593341608,0.054609919,0.151877255,0.223897324,0.1125,0.142557672,0.155724501,0.02159591,0.407240926,0.011349643,0.868421,0.145749146,0.989028313,0.126297318,0.210098758,0.257142684,0.31147541,0.263888889,2.5
08-decorator-example-uml.png,0.299943069,0.015862963,0.063671814,0.324812512,0,0.148599729,0.063746162,0.227503279,0,0.004551086,1,0,1,0,0.343842262,0,0.032786885,0,5
beanClassUML.png,0.25983731,0.132803486,0.166034139,0.25414534,0.125,0.306255531,0.203007686,0.213386805,0.367053151,0,1,0.3000003,1,0.350523915,0.447601503,0,0.06557377,0.013888889,3.5
4-gameUML.png,0.159681903,0.019552829,0.102617775,0.146296971,0.159090875,0.216612118,0.265346788,0.025768908,0.581406332,0.012910222,0.8,0.110769111,0.831767784,0.109956578,0.305353919,0.317647003,0.245901639,0.138888889,3.5
4100-ecore_diagram.png,0.143134655,0.02145593,0.108298333,0.36059944,0.083333375,0.096321819,0.092915493,0.050653057,0.538834608,0.003164527,1,0,1,0.202768481,0.420232591,0.224999848,0.016393443,0.027777778,4.5
AbstractFactoryUML.png,0.221149704,0.018672139,0.012473356,0.269235541,0.125,0.08087755,0.059982348,0.082199587,0.257843276,0.006416647,0.875,0,1,0.17481541,0.179911673,0.540000176,0.049180328,0.041666667,4
act-obj_class-diagram.png,0.361659623,0.063809807,0.077246352,0.249302604,0.107142875,0.102223185,0.094562171,0.053139127,0.363862534,0.002437926,1,0,1,0.187831124,0.255786557,0.421875137,0.098360656,0.083333333,4.5
alarm_controller_class_diagram.png,0.485782574,0.139463338,0.225747196,0.218940272,0.5,0.155577572,0.095267891,0.135370006,0.226841339,0.032449754,0.6,0.0999991,0.936816189,0.215329987,0.434792388,0.084375027,0.098360656,0.027777778,3.5
AndroidDiagram.png,0.387341516,0.137149878,0.076739423,0.223475784,0.115384625,0.176292625,0.19313372,0.044646681,0.47822632,0.433387137,0.2,0.018462018,0.278178959,0.265856103,0.148386413,0.146738973,0.344262295,0.166666667,3
ClassDiagram_47..png,0.558469934,0.065420435,0.298666787,0.228114982,0.116666625,0.081150087,0.088211216,0.004151494,0.526067899,0.057377556,0.827586,0.027585028,0.995453256,0.107873357,0.271224746,0.413709659,0.475409836,0.194444444,3.5
basic-architecture-connectors.png,0.252800402,0.066151198,0.11238212,0.21933027,0.125,0.251418912,0.158076898,0.205915636,0.310256918,0.001246122,1,0,1,0.250154642,0.299389701,0.224999848,0.06557377,0.013888889,4.5
avengersSprint2UML.jpg,0.112140461,0.03396173,0.215073043,0.195050721,0.071428625,0.10774958,0.116610684,0.011624184,0.445920705,0.151767852,0.636364,0,1,0.161399823,0.373054881,0.192857013,0.31147541,0.083333333,2
ApiClassDiagram.png,0.207967041,0.019280212,0.136763499,0.309982135,0.344827625,0.27875527,0.235235529,0.008302989,0.357643907,0.164377677,0.678899,0.186657187,0.841093671,0.078382281,0.173922293,0.289285519,0.196721311,0.388888889,2
classdiagram_dofus.png,0.12433452,0.016519233,0,0.120785565,0,0.091417379,0.063275288,0.044836138,0.342583035,0.091796352,0.8,0,1,0.168067458,0.270826725,0.405000132,0.049180328,0.055555556,4
architecture-modelclasses.png,0.501731018,0.153089649,0.229552003,0.207487437,0.107142875,0.259866687,0.373086326,0.028342614,0.691539527,0.097674075,0.846154,0.395604396,0.998375815,0.223368946,0.484614423,0.135000044,0.049180328,0.083333333,2.5
class-diagram_14..png,0.401022967,0.057814863,0.117064981,0.220587395,0.1875,0.118576648,0.077389671,0.034872552,0.24959914,0.002315088,1,0,1,0.186008612,0.10289915,0.490909435,0.147540984,0.097222222,4
