,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__criterion,param_regressor__max_depth,param_regressor__max_features,param_regressor__n_estimators,params,split0_test_mae,split1_test_mae,split2_test_mae,split3_test_mae,split4_test_mae,split5_test_mae,split6_test_mae,split7_test_mae,split8_test_mae,split9_test_mae,mean_test_mae,std_test_mae,rank_test_mae,split0_test_mse,split1_test_mse,split2_test_mse,split3_test_mse,split4_test_mse,split5_test_mse,split6_test_mse,split7_test_mse,split8_test_mse,split9_test_mse,mean_test_mse,std_test_mse,rank_test_mse,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,split5_test_rmse,split6_test_rmse,split7_test_rmse,split8_test_rmse,split9_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,split5_test_r2,split6_test_r2,split7_test_r2,split8_test_r2,split9_test_r2,mean_test_r2,std_test_r2,rank_test_r2,Method
4,0.1550915241241455,0.005236210979884583,0.008641886711120605,0.0007275593176871016,squared_error,,sqrt,100,"{'regressor__criterion': 'squared_error', 'regressor__max_depth': None, 'regressor__max_features': 'sqrt', 'regressor__n_estimators': 100}",0.5556290007806401,0.5446728142076503,0.4772486338797814,0.4861700819672131,0.5679262295081968,0.5476104605776737,0.5676900858704139,0.5895546448087432,0.6177780054644808,0.48563373015873024,0.5439913687223523,0.044729734130083965,153,0.4878552447655292,0.4939827197461293,0.34035818602003637,0.37391404736406175,0.46597682786885253,0.4887380494916546,0.4929842449118992,0.545181165611873,0.6103303716131603,0.3469030483418367,0.4646223905735033,0.08248488364596787,152,0.6984663519207845,0.7028390425596243,0.5834022506127623,0.6114851162244767,0.6826249540332177,0.6990980256671124,0.7021283678301989,0.7383638436515381,0.7812364377147039,0.588984760704245,0.6788629150918664,0.06138023367890286,152,0.4302230490356138,0.42915847820641406,0.6066854626768461,0.5870186493791412,0.48533696156129413,0.46019760102153573,0.4555077544324202,0.3986604069240314,0.32680026299908993,0.6008466723034399,0.47804352985398263,0.08845180635947292,10,RandomForest-regular
5,0.7705146789550781,0.021662042260966016,0.034450221061706546,0.0016682634318266772,squared_error,,sqrt,500,"{'regressor__criterion': 'squared_error', 'regressor__max_depth': None, 'regressor__max_features': 'sqrt', 'regressor__n_estimators': 500}",0.5645400858704137,0.5298903200624512,0.4702149102263856,0.4844767434296124,0.5768589058027583,0.5469246487119438,0.5733041308873276,0.5811848555815771,0.602646870934166,0.4795130357142858,0.5409554507220922,0.04521423869045609,155,0.49558807443208436,0.47158043675964645,0.3326518724467492,0.3824267982737347,0.4715423789332206,0.492551346375344,0.4993725542997809,0.5328680535132525,0.5907881470330745,0.34253160151882567,0.4611901263585714,0.07910672078305302,155,0.7039801662206716,0.6867171446524737,0.5767598048119765,0.6184066609228386,0.6866894341208554,0.701820024205169,0.7066629707999287,0.7299781185167488,0.7686274435856909,0.5852619939128336,0.6764903761749187,0.05958940594844282,155,0.4211917059128104,0.4550463337942099,0.615590802057654,0.5776164688701197,0.4791899103560363,0.45598588309211807,0.44845198143381293,0.41224187724238537,0.348355507600394,0.6058765431984747,0.4819547013558016,0.08443677171226595,7,RandomForest-regular
6,0.017747139930725096,0.0015654544203217444,0.0030326366424560545,0.0008718522000219751,squared_error,,log2,10,"{'regressor__criterion': 'squared_error', 'regressor__max_depth': None, 'regressor__max_features': 'log2', 'regressor__n_estimators': 10}",0.6025780640124903,0.6024590163934426,0.49815573770491806,0.5119672131147541,0.6047131147540983,0.5237704918032787,0.5975956284153007,0.6124180327868852,0.6450478142076502,0.5213472222222222,0.5720052335415041,0.04950389271854407,68,0.5640439298260287,0.5959244080145721,0.3790901070127504,0.42306393442622947,0.5310271516393443,0.4486680327868852,0.543493169398907,0.5694351662112932,0.6357679445582878,0.3805896875,0.5071103531374298,0.08737174416261732,70,0.7510285812311198,0.7719614031896751,0.615702937310478,0.6504336510561469,0.7287160981063505,0.669826867770236,0.7372198921616989,0.7546092804963992,0.7973505782015134,0.61691951460462,0.7093768804128237,0.062408290099954834,70,0.3412405954542834,0.31135567632850236,0.5619272396911663,0.5327334817453251,0.4134900471208074,0.5044542149005642,0.39972155436825985,0.3719080321706766,0.29874239759852106,0.5620861765880942,0.42976594159662007,0.0973118237091458,92,RandomForest-regular
7,0.15513441562652588,0.007524751790755946,0.008952116966247559,0.0016801744832876098,squared_error,,log2,100,"{'regressor__criterion': 'squared_error', 'regressor__max_depth': None, 'regressor__max_features': 'log2', 'regressor__n_estimators': 100}",0.5556290007806401,0.5446728142076503,0.4772486338797814,0.4861700819672131,0.5679262295081968,0.5476104605776737,0.5676900858704139,0.5895546448087432,0.6177780054644808,0.48563373015873024,0.5439913687223523,0.044729734130083965,153,0.4878552447655292,0.4939827197461293,0.34035818602003637,0.37391404736406175,0.46597682786885253,0.4887380494916546,0.4929842449118992,0.545181165611873,0.6103303716131603,0.3469030483418367,0.4646223905735033,0.08248488364596787,152,0.6984663519207845,0.7028390425596243,0.5834022506127623,0.6114851162244767,0.6826249540332177,0.6990980256671124,0.7021283678301989,0.7383638436515381,0.7812364377147039,0.588984760704245,0.6788629150918664,0.06138023367890286,152,0.4302230490356138,0.42915847820641406,0.6066854626768461,0.5870186493791412,0.48533696156129413,0.46019760102153573,0.4555077544324202,0.3986604069240314,0.32680026299908993,0.6008466723034399,0.47804352985398263,0.08845180635947292,10,RandomForest-regular
8,0.772633695602417,0.020786538881352318,0.034399008750915526,0.0019552887464949573,squared_error,,log2,500,"{'regressor__criterion': 'squared_error', 'regressor__max_depth': None, 'regressor__max_features': 'log2', 'regressor__n_estimators': 500}",0.5645400858704137,0.5298903200624512,0.4702149102263856,0.4844767434296124,0.5768589058027583,0.5469246487119438,0.5733041308873276,0.5811848555815771,0.602646870934166,0.4795130357142858,0.5409554507220922,0.04521423869045609,155,0.49558807443208436,0.47158043675964645,0.3326518724467492,0.3824267982737347,0.4715423789332206,0.492551346375344,0.4993725542997809,0.5328680535132525,0.5907881470330745,0.34253160151882567,0.4611901263585714,0.07910672078305302,155,0.7039801662206716,0.6867171446524737,0.5767598048119765,0.6184066609228386,0.6866894341208554,0.701820024205169,0.7066629707999287,0.7299781185167488,0.7686274435856909,0.5852619939128336,0.6764903761749187,0.05958940594844282,155,0.4211917059128104,0.4550463337942099,0.615590802057654,0.5776164688701197,0.4791899103560363,0.45598588309211807,0.44845198143381293,0.41224187724238537,0.348355507600394,0.6058765431984747,0.4819547013558016,0.08443677171226595,7,RandomForest-regular
9,0.0236037015914917,0.0022399701924519233,0.003745102882385254,0.00152801023379881,squared_error,4,auto,10,"{'regressor__criterion': 'squared_error', 'regressor__max_depth': 4, 'regressor__max_features': 'auto', 'regressor__n_estimators': 10}",0.5875964014880616,0.5213035722500046,0.47295269368689175,0.5259744903769535,0.5736585529534045,0.5765548208972341,0.5395440479051661,0.6628333828365299,0.6517015019532757,0.49128052329740607,0.5603399987644927,0.05964737081361957,87,0.49748322579497073,0.48045842811981115,0.33861156885406085,0.3935587276944854,0.4721273170212382,0.5338974608453525,0.47575178754302816,0.6442296239560064,0.6540389675629082,0.35989665704189,0.48500537644337516,0.10108848834738492,98,0.7053249079643868,0.693151086069849,0.5819034016519072,0.6273425919658934,0.6871152137896804,0.7306828729656611,0.6897476259785373,0.8026391617383283,0.808726757046475,0.5999138746869337,0.6926547493857653,0.07235174218163601,104,0.41897831664058816,0.4447870152068891,0.6087038361161612,0.5653214527304304,0.4785438567420518,0.4103198421473565,0.47454069413843647,0.28940909122860525,0.2785892994511392,0.5858959759166427,0.4555089380318301,0.10761146685697104,65,RandomForest-regular
10,0.21313230991363524,0.007457383092308722,0.008378553390502929,0.0008756181055456819,squared_error,4,auto,100,"{'regressor__criterion': 'squared_error', 'regressor__max_depth': 4, 'regressor__max_features': 'auto', 'regressor__n_estimators': 100}",0.5835703553955457,0.515586132834729,0.4723051995155557,0.5005022417786164,0.592279472673266,0.5703100775133021,0.5796458965573643,0.6347536596752493,0.6157591152258977,0.4791807575785114,0.5543892908748037,0.05496078216663781,114,0.5129965327536121,0.4557456787648976,0.33808072790060684,0.3882924713543882,0.48798515662918923,0.5231250007013021,0.5195383349776862,0.6115532054180348,0.595059470163598,0.34762711705818705,0.47800036957215025,0.09041168324418332,119,0.7162377627252086,0.6750893857593212,0.5814470981100575,0.6231311831022327,0.698559343670378,0.7232738075592825,0.7207900769139973,0.7820186733179936,0.771400978845372,0.5895991155507164,0.688154742555456,0.06665898191980074,121,0.40085998167727854,0.4733448227688871,0.6093172706465347,0.5711379382874211,0.46102915766779073,0.422217830926226,0.4261792388091511,0.32545146661908764,0.3436442008362981,0.6000135448950944,0.4633195453133768,0.09593273103180167,44,RandomForest-regular
11,1.1263199329376221,0.2029923873489468,0.03346598148345947,0.003347264948936697,squared_error,4,auto,500,"{'regressor__criterion': 'squared_error', 'regressor__max_depth': 4, 'regressor__max_features': 'auto', 'regressor__n_estimators': 500}",0.5730003981547973,0.5174178791864457,0.46832656976758646,0.5069831386360696,0.5902783384755967,0.5690165820591743,0.5865671518984621,0.6305174888455702,0.6215204051591773,0.4753016462811532,0.5538929598464033,0.05518991852669499,117,0.5037727560701535,0.46440319809225733,0.3356270120057799,0.396632725655845,0.4836003736264483,0.5232558057181131,0.5233813219755113,0.6020407736290959,0.6127555726991909,0.3468003331000105,0.47922698725724067,0.09089675519826394,117,0.7097695091155674,0.6814713479613485,0.5793332477993818,0.629787841781536,0.6954138146646558,0.7233642275632056,0.7234509810453721,0.7759128647142641,0.7827870545040911,0.5888975573900868,0.6890188446539509,0.06693294382421286,117,0.4116326348596858,0.46334027947164935,0.6121527603498425,0.5619262771845062,0.46587207175303824,0.42207335913413524,0.42193472868184123,0.33594376206495735,0.32412524499371875,0.6009648584386615,0.4619965976932036,0.09617431603326348,46,RandomForest-regular
12,0.013801908493041993,0.0008504403496367164,0.0024539947509765623,0.0004147410637751715,squared_error,4,sqrt,10,"{'regressor__criterion': 'squared_error', 'regressor__max_depth': 4, 'regressor__max_features': 'sqrt', 'regressor__n_estimators': 10}",0.6007889911603542,0.513240356575557,0.46054084657038225,0.49708862945931137,0.606212100971724,0.5388287382543944,0.5745712825296367,0.6486853448244686,0.6529903504993433,0.505714485146472,0.5598661125991643,0.0632102097838332,89,0.5615571441828916,0.4778555275868935,0.33694161521333443,0.38458311050749483,0.5432277723726353,0.4558552690054055,0.5254712162754837,0.6205163368680479,0.6585903781502277,0.3831158368386812,0.4947714207001096,0.10085561858523397,81,0.7493711658336553,0.6912709509207612,0.5804667218827746,0.6201476521825224,0.7370398716301821,0.6751705480879668,0.7248939345004093,0.7877285934051448,0.8115358144593667,0.6189635181807416,0.6996588771083525,0.07244912962616519,85,0.3441449675126994,0.44779490119539433,0.6106336179475722,0.5752348607306654,0.40001468061781664,0.49651604156452556,0.41962647795753216,0.31556505425047976,0.2735690537729367,0.5591795405132234,0.4442279196062845,0.10911899074397358,79,RandomForest-regular
13,0.11622903347015381,0.007652796511657695,0.008426761627197266,0.0010161785219565047,squared_error,4,sqrt,100,"{'regressor__criterion': 'squared_error', 'regressor__max_depth': 4, 'regressor__max_features': 'sqrt', 'regressor__n_estimators': 100}",0.5875015942432539,0.5164714186107066,0.4667111117618774,0.5230340581304259,0.6041615750275873,0.5546040935194919,0.6000361972997915,0.6227293134855134,0.627210596857836,0.4905136597766552,0.559297361871314,0.054385913429096676,91,0.5123701516660283,0.46903341248325786,0.3316010031858589,0.42909861621084416,0.5067425575806601,0.5038366575705157,0.5419539413130716,0.5714064367897967,0.6244358677846826,0.3520793007873816,0.48425579453720974,0.08735124004099087,102,0.7158003574084245,0.6848601408194653,0.5758480730069858,0.6550561931703601,0.7118585235709832,0.7098145233584021,0.7361752110150623,0.7559143051892832,0.7902125459549998,0.5933627059289972,0.6928902579422964,0.06448941762698554,102,0.4015915460297266,0.4579896497359621,0.6168051761321176,0.5260682840841345,0.44031194515950245,0.44352145953698774,0.40142160414783656,0.3697337034845607,0.3112417773745948,0.5948907765610632,0.45635759222464867,0.092086331249184,60,RandomForest-regular
